Piece Title,Artist Gender,Artist of Color,Figure of Color,"If yes, only figures of color?",Subject Gender,Plaque Description
The Monkey Picture,Man,No,No,,Man,"Henry Church (1836-1908) worked as a blacksmith in Chagrin Falls, Ohio. Other talents included painting, drawing, and wood and stone carving. An original and independent thinker, Church prepared for death by carving his own memorial stone (in the shape of a lion).
The artist's reasons for executing this lively painting remain speculative, but many scholars believe it was intended as a spoof on the uninspired, time-worn Victorian tabletop settings. Church's playful rendition with the two rambunctious monkeys and aggravated policeman is a favorite with museum visitors. He apparently patterned his monkeys from an 1890s trade advertisement showing two monkeys fighting for possession of a packet of Leopold Schepp's famous dried coconut."
Wallowa Lake,Man,No,,,,"Born and raised on a Michigan farm, Steve Harley (1863-1947) found his artistic expression late in life in the magnificent scenery of the Pacific Northwest.
Harley never married and remained on the Midwest farm through both his parents' lifetimes. After their deaths, Harley became restless and hostile to the confining farm lifestyle. In the mid-1920s, he set off to visit relatives in California and explore the Pacific Northwest. This landscape enthralled Harley, and he made it the subject of four of his five known oll paintings, all of which are owned by the museum along with his sketchbook and photographs.
Apparently the environment also empowered him; on the back of this painting, he described himself as invincible."
Boy Holding Dog,Man,No,No,,Man,None
Shop Sign,Woman,No,No,,Woman,None
Portrait of Elizabeth Macon Yancey,Unknown,,No,,Woman,None
Washington and Lafayette at the Battle of Yorktown,Man,No,No,,Man,None
Doctor William Archer Rutherfoord Goodwin,Man,No,No,,Man,None
Boone's Knoll on the Kentucky River at Camp Nelson,Man,No,,,,"Englishman George Beck was one of the first landscapists to cross the Allegheny Mountains. Immigrating to America in 1795, he lived temporarily in Baltimore and Philadelphia. In 1797, George Washington purchased two of Beck's large landscapes for the New Room at Mount Vernon. In 1804, Beck began a painting excursion along the western frontier, drawn by the rumored beauty of the Backcountry. He settled permanently at Lexington, Kentucky, in
1807. Upon his 1812 death, the Kentucky Gazette opined that Beck's
""eminence in landscape painting may rank him amongst the best painters of wild nature.""
This scene and three others by Beck were likely acquired by Major William Dallan and Letitia Meredith shortly after their 1808 marriage.
The paintings hung at Winton, the Dallans' Lexington-area home, until the 1960s."
John Brand,Man,No,No,,Man,"Bankruptcy in the sail cloth business forced 27-year-old John Brand to leave his native Scotland. In 1802, he settled in Lexington, Kentucky, and established a hemp manufactory. National demand for hemp products such as bags and rope helped the business grow. This financial success enabled Brand to return to Scotland and repay old debts nearly 15 years later, an act that earned him a reputation on both sides of the ocean as a ""rare - and honest man.""
Brand was a major stockholder in the Lexington and Ohio Railroad, a charter board member of the local bank and cemetery, and a close friend and supporter of Henry Clay. He died at age 74, leaving an estate valued today at nearly $18 million dollars. His portrait was rendered by the celebrated local artist Matthew Harris Jouett and was likely accompanied by a companion painting of his wife."
Felicie Aime,Man,No,No,,Woman,"This charming likeness of Félicie Aime was probably painted in conjunction with at least seven other family portraits by this artist. They portray Félicie's parents and four siblings. All were likely rendered around 1839 at completion of the family home, a sixteen-room Greek Revival mansion with extensive gardens nicknamed ""Le Petit Versailles"" because of its opulence.
The portrait resembles two others by French-born artist Jacques Amans. All feature young women in similar dress and pose against a landscape. Félicie was born to Francois Gabriel and Joséphine Roman Aime, both descended from prominent Louisiana families. Her father was credited as the leading sugar producer in the world and is often called the ""father of white sugar."""
